2	1.14	-0.114
1	-1.52	-1.15
2	-1.05	0.72
1	-0.916	0.397
1	-1.09	0.437
1	-0.584	0.0937
2	1.83	0.452
1	-1.25	-0.286
1	1.7	1.21
1	-0.482	-0.485
2	1.79	-0.459
2	-0.122	-0.808
1	0.0809	1.93
1	-0.541	-0.332
2	-1.02	0.619
2	-0.768	-1.04
1	-1.69	-0.0461
1	1.26	1.21
2	0.724	0.989
2	0.444	1.99
2	-1.01	-1.36
1	-0.863	0.496
1	1.16	-0.458
1	-0.595	-0.651
1	-0.77	0.364
1	-0.871	-0.825
1	0.996	-1.7
2	1.28	0.691
2	0.925	0.895
2	-0.687	-1.29
1	1.74	0.964
1	1.18	-0.335
1	2.52	1.43
2	1.71	-0.044
1	0.271	-0.591
2	1.12	0.626
2	1.3	0.196
1	-1.59	-0.68
1	0.408	0.0673
2	1.13	1.48
2	0.763	0.921
2	-1.41	1.11
2	-0.75	-0.881
2	1.16	0.978
2	1.13	0.405
2	-0.522	-1.34
2	-1.41	0.894
1	0.00902	-0.434
1	-2.14	-1.43
2	-1.31	1.25
2	0.041	-1.13
2	0.0483	0.866
2	-2.11	0.193
2	0.522	1.46
2	0.0284	1.62
1	0.396	-0.606
2	0.536	0.921
1	0.315	-0.182
2	-0.123	-1.07
2	0.526	1.48
1	0.00665	0.0118
1	-0.352	-0.49
2	-0.0701	-1.23
2	-0.149	-1.2
1	0.785	0.0481
2	-1.62	0.593
2	-0.0314	-1.01
2	-0.285	-1.1
1	1.33	1.51
1	1.09	-1.37
2	-0.223	-1.28
2	-0.0341	-1.07
2	1.22	1.13
1	-1.67	-1.26
2	1.97	-0.772
1	-0.508	-0.715
1	0.603	-0.108
1	-0.323	-0.213
2	-0.124	-1.12
2	-0.439	-0.961
1	0.201	0.0024
2	0.812	0.708
2	0.888	0.817
1	0.0238	0.0836
2	0.415	-1
1	-0.308	2.19
1	0.767	-0.248
1	1.23	-1.2
1	1.33	1.63
1	0.27	0.0491
1	-1.69	-1.87
1	0.495	-0.281
2	-0.519	-0.799
2	-1.99	0.549
1	1.36	-0.732
2	-1.03	0.654
2	0.431	-1.33
2	-0.0583	-1.15
1	-0.209	0.345
1	1.26	-1.37
1	-1.78	-0.378
1	0.98	-0.0439
2	-0.0536	1.6
1	-1.39	-0.451
1	1.22	-0.361
2	1.22	0.561
1	-0.838	0.356
2	-0.446	-0.861
1	1.17	-1.39
2	-0.0868	-1.33
2	-1.12	0.576
2	-0.28	-1.3
1	-0.0269	0.958
2	-0.697	1.35
1	1.38	-1.74
2	0.408	1.16
1	1.2	1.54
1	2.07	1.02
1	-0.462	-0.187
2	1.27	0.589
2	-0.101	-0.765
2	-0.819	1.26
1	0.615	-0.0228
1	-1.79	-0.98
1	-1.79	-0.954
1	0.826	1.5
2	0.845	0.766
2	-0.476	-1.49
2	1.01	0.48
2	1.39	-0.376
2	0.357	-1.07
2	0.77	1.4
1	-1.08	0.114
2	-0.795	-1.43
1	0.706	1.38
1	-1.26	0.23
2	-0.833	-0.569
2	-0.0303	2.11
1	-0.223	-0.419
2	-0.562	-0.873
2	0.926	0.972
1	-1.86	-1.57
2	-0.806	0.941
1	-0.214	0.38
1	0.744	1.42
2	1.94	-0.65
1	1.77	1.35
1	-0.903	0.101
2	-0.0418	-1.02
1	0.309	-0.175
2	-0.634	-0.969
2	-1.62	0.102
2	-1.21	1.27
2	0.529	0.133
2	0.386	1.55
1	-0.0962	0.19
2	-0.536	1.13
1	1.02	-0.261
2	-0.876	-1
1	2.35	1.21
2	-0.982	-1.08
1	-1.16	0.469
2	-1.74	0.693
2	-1.1	1.16
1	0.0179	-0.7
2	-0.62	-0.984
2	-1.52	0.66
1	1.07	-0.985
2	0.917	0.525
2	-0.0482	1.52
1	1.49	1.55
2	-0.584	1.01
1	-0.0625	-0.12
2	-1.68	1.08
1	-1.77	-0.923
1	-0.202	0.712
1	1.06	-0.427
1	1.71	1.1
2	-1.7	0.872
1	1.86	1.14
1	-0.529	-0.357
2	-0.411	-1.3
1	0.666	1.36
2	0.162	-0.791
1	-0.296	0.255
2	-0.0347	1.3
2	0.294	-1.5
2	-0.52	-1.17
1	0.741	-1.2
2	-1.33	1.08
1	-0.0987	0.966
2	0.0131	-0.969
1	0.896	1.58
1	-0.412	0.492
2	0.683	1.07
1	-0.753	-0.0615
2	-0.0674	1.85
2	1.08	0.683
2	1.15	0.243
1	0.497	-0.671
2	0.174	1.92
2	1.64	0.0477
2	-0.478	-0.796
2	-0.447	-1
1	-1.04	-0.2
2	2.06	-0.482
2	-0.89	-1.17
2	0.312	-1.23
1	0.976	-1.39
2	0.291	-0.795
1	0.303	-0.143
1	1.1	-0.695
1	0.579	-1.02
2	-1.54	0.685
1	0.916	0.144
2	1.18	0.614
2	0.254	-0.862
1	-0.877	-0.401
1	1.97	0.99
2	0.471	1.39
2	1.63	0.475
2	0.945	0.309
2	0.121	-1.3
1	1.06	-0.69
1	1.42	-0.32
1	0.535	0.504
2	0.912	-0.114
2	-0.75	1.14
1	1.14	-0.209
2	-1.03	-1.09
1	0.268	-1.08
1	-1.77	-0.828
1	0.378	-0.0609
1	1.19	0.113
2	-0.168	1.32
1	2.07	1.21
2	-1.07	0.707
2	-1.19	0.309
2	1.19	0.697
2	0.121	1.72
1	1.23	-0.0582
1	0.44	0.399
2	-0.723	0.633
2	-0.63	0.949
1	0.143	0.263
1	1.23	-0.615
2	1.9	-0.0565
2	1.22	-0.0172
1	0.0107	0.0258
1	0.36	-0.715
2	0.139	-1.01
2	0.308	-1.06
1	-0.645	-0.238
2	1.15	0.715
2	-0.531	-1.27
2	1.05	0.701
2	0.0681	-0.76
2	-0.595	1.46
2	0.72	0.989
1	-1.86	-0.963
2	0.0692	-0.828
2	0.863	0.765
2	-0.574	1.32
2	-0.467	-1.51
2	1.43	0.484
2	-0.592	-1.17
1	0.122	-0.041
2	0.909	0.118
2	-0.705	-0.93
2	1.05	0.453
2	-0.786	-1.33
2	0.07	1.7
2	-0.36	-1.28
2	-1.25	0.985
1	1.33	1.42
1	0.778	-0.694
1	-1.87	-1.26
2	0.178	1.49
2	-1.03	1.18
1	-0.956	-0.818
2	0.0345	-0.691
1	-1.25	0.512
2	-0.187	-1.38
2	-1.24	1
1	0.329	-0.37
1	-1.37	-0.803
2	0.529	1.62
2	-0.23	1.08
2	-0.619	-0.748
2	-0.914	1.07
2	0.163	-1.31
1	1.19	-1.34
1	0.983	-1.31
1	-1.63	-1.41
1	-1.02	-0.296
1	-0.387	0.26
1	-1.59	-1
2	1.69	-0.724
1	-0.869	-0.0393
1	-1.9	0.106
2	-1.75	0.722
2	-1.06	-1.07
2	-0.509	-1.41
1	-0.112	-0.841
2	1.08	0.79
2	0.498	0.567
2	-0.796	-1.63
2	-0.3	-1.04
2	-2.34	0.246
1	0.842	-1.41
2	-0.0263	-1.35
2	0.586	1.15
2	1.87	-0.239
2	0.404	-0.868
1	0.564	-1.13
1	-0.0584	0.54
1	-1.58	-1.26
1	-0.813	-0.57
1	-0.579	-0.748
2	-1.35	1.32
2	-0.639	-0.938
2	1.49	-0.00779
1	0.719	0.0781
2	0.0346	1.7
1	-0.274	0.0468
1	0.207	0.0304
2	1.63	-0.251
2	-0.207	-0.745
2	-0.717	1
1	1.17	-0.567
2	0.661	1.69
2	-1.13	0.6
2	-0.109	-1.25
2	0.68	0.702
2	0.867	0.81
2	-0.562	-1.01
2	1.79	-0.102
